System;name;L;a;b;R;G;B;hex
Pantone;287C;24;12;-62;0;53;152;#003798
Pantone;288C;20;9;-54;0;48;130;#003082
Pantone;289C;13;-1;-30;0;35;76;#00234C
Pantone;290C;85;-6;-13;190;217;373;#BED9ED
Pantone;2905C;78;-12;-23;146;201;235;#92C9EB
Pantone;291C;80;-9;-20;164;206;236;#A4CEEC
Pantone;2915C;70;-15;-34;98;180;232;#62B4E8
Pantone;292C;69;-12;-34;106;178;231;#6AB2E7
Pantone;2925C;56;-16;-49;0;146;221;#0092DD
Pantone;293C;30;9;-70;0;71;182;#0047B6
Pantone;2935C;36;-2;-67;0;91;195;#005BC3
Pantone;294C;21;2;-51;0;53;128;#003580
Pantone;2945C;32;-7;-56;0;83;165;#0053A5
Pantone;295C;17;-2;-39;0;45;98;#002D62
Pantone;2955C;22;-9;-39;0;59;111;#003B6F
Pantone;296C;14;-8;-21;0;39;64;#002740
Pantone;2965C;18;-10;-26;0;49;81;#003151
Pantone;297C;76;-18;-26;120;199;235;#78C7EB
Pantone;2975C;84;-14;-15;165;217;236;#A5D9EC
Pantone;298C;69;-21;-35;66;180;230;#42B4E6
Pantone;2985C;71;-25;-32;64;189;232;#40BDE8
Pantone;299C;60;-24;-46;0;160;226;#00A0E2
Pantone;2995C;60;-30;-46;0;162;225;#00A2E1
Pantone;300C;40;-13;-63;0;103;198;#0067C6
Pantone;3005C;44;-23;-60;0;118;204;#0076CC
Pantone;301C;31;-13;-52;0;82;155;#00529B
Pantone;3015C;36;-23;-48;0;96;161;#0060A1
Pantone;302C;25;-17;-34;0;67;110;#00436E
Pantone;3025C;27;-22;-31;0;73;110;#00496E
Pantone;303C;18;-15;-22;0;52;77;#00344D
Pantone;3035C;21;-19;-20;0;58;79;#003A4F
Pantone;304C;84;-16;-14;162;219;235;#A2DBEB
Pantone;305C;76;-27;-27;83;202;235;#53CAEB
Pantone;306C;67;-35;-38;0;181;230;#00B5E6
Pantone;307C;41;-31;-50;0;112;178;#0070B2
Pantone;308C;32;-29;-36;0;88;131;#005883
Pantone;309C;20;-20;-16;0;57;71;#003947
Pantone;310C;78;-27;-21;102;207;230;#66CFE6
Pantone;3105C;79;-27;-18;111;210;228;#6FD2E4
Pantone;311C;71;-35;-29;0;194;227;#00C2E3
Pantone;3115C;72;-36;-24;0;196;220;#00C4DC
Pantone;312C;60;-45;-39;0;167;212;#00A7D4
Pantone;3125C;62;-47;-32;0;174;206;#00AECE
Pantone;313C;52;-46;-44;0;146;199;#0092C7
Pantone;3135C;51;-53;-38;0;146;189;#0092BA
Pantone;314C;45;-43;-39;0;127;172;#007FAC
Pantone;3145C;43;-46;-30;0;122;151;#007A97
Pantone;315C;36;-38;-30;0;102;133;#006685
Pantone;3155C;36;-41;-25;0;102;124;#00667C
Pantone;316C;25;-25;-14;0;70;80;#004650
Pantone;3165C;28;-33;-18;0;79;93;#004F5D
Pantone;317C;88;-12;-7;191;229;234;#BFE5EA
Pantone;318C;83;-23;-13;142;219;229;#8EDBE5
Pantone;319C;75;-36;-19;54;204;218;#36CCDA
Pantone;320C;53;-61;-28;0;15;172;#0097AC
Pantone;321C;45;-55;-25;0;129;147;#008193
Pantone;322C;39;-46;-19;0;111;122;#006F7A
Pantone;323C;35;-37;-15;0;96;104;#006068
Pantone;324C;82;-21;-8;152;217;219;#98D9DB
Pantone;3242C;81;-31;-9;117;217;216;#75D9D8
Pantone;3245C;82;-31;-7;123;221;216;#7BDDD8
Pantone;3248C;78;-29;-4;123;210;200;#7BD2C8
Pantone;325C;73;-36;-11;71;199;199;#47C7C7
Pantone;3252C;77;-39;-12;65;210;210;#41D2D2
Pantone;3255C;77;-43;-8;50;212;203;#32D4CB
Pantone;3258C;72;-39;-4;67;196;183;#43C4B7
Pantone;326C;63;-51;-13;0;175;173;#00AFAD
Pantone;3262C;66;-58;-15;0;186;185;#00BAB9
Pantone;3265C;69;-59;-9;0;194;182;#00C2B6
Pantone;3268C;60;-58;-3;0;169;148;#00A994
Pantone;327C;45;-69;-9;0;133;121;#008579
Pantone;3272C;55;-71;-15;0;161;156;#00A19C
Pantone;3275C;61;-71;-7;0;176;157;#00B09D
Pantone;3278C;53;-68;1;0;153;122;#00997A
Pantone;328C;39;-58;-8;0;113;104;#007168
Pantone;3282C;46;-58;-12;0;132;128;#008480
Pantone;3285C;52;-59;-6;0;147;132;#009384
Pantone;3288C;44;-61;1;0;126;100;#007E64
Pantone;329C;34;-51;-7;0;98;90;#00625A
Pantone;3292C;32;-40;-6;0;90;83;#005A53
Pantone;3295C;44;-51;-5;0;124;111;#007C6F
Pantone;3298C;36;-48;1;0;103;82;#006752
Pantone;330C;30;-30;-5;0;82;77;#00524D
Pantone;3302C;24;-27;-3;0;66;60;#00423C
Pantone;3305C;27;-12;-1;0;74;65;#004A41
Pantone;3308C;24;-26;1;0;66;54;#004236
Pantone;331C;88;-19;-2;178;231;223;#B2E7DF
Pantone;332C;86;-24;-3;159;228;219;#9FE4DB
Pantone;333C;79;-44;-3;67;217;199;#43D9C7
Pantone;334C;53;-69;2;0;152;120;#009878
Pantone;335C;44;-51;1;0;123;99;#007B63
Pantone;336C;36;-41;2;0;102;81;#006651
Pantone;337C;82;-25;1;148;216;200;#94D8C8
Pantone;3375C;83;-34;3;129;224;199;#81E0C7
Pantone;338C;78;-32;1;118;209;189;#76D1BD
Pantone;3385C;77;-48;6;59;214;178;#3BD6B2
Pantone;339C;63;-56;6;0;176;139;#00B08B
Pantone;3395C;69;-67;12;0;197;144;#00C590
Pantone;340C;51;-73;13;0;148;96;#009460
Pantone;3405C;60;-81;20;0;174;104;#00AE68
Pantone;341C;42;-54;7;0;120;86;#007856
Pantone;3415C;42;-54;13;0;119;75;#00774B
Pantone;342C;38;-44;6;0;106;78;#006A4E
Pantone;3425C;36;-42;10;0;102;68;#006644
Pantone;343C;30;-31;5;0;83;62;#00533E
Pantone;3435C;25;-28;7;0;71;49;#004731
Pantone;344C;84;-23;8;166;222;193;#A6DEC1
Pantone;345C;80;-31;11;137;213;175;#89D5AF
Pantone;346C;74;-41;15;94;201;152;#5EC998
Pantone;347C;51;-74;29;0;149;67;#009543
